,year,target_area,no_of_place,sleepnights,accommodation,number_of_ppl,number_of_children,cost_total_trip,cost_total_per_person,satisfied,sex,age,month,living_area,target_beforesplit,transportation,reason,relationship,target_1,target_2,target_3,target_4,target_5,target_6,target_7,target_8,target_9,target_10,target_11,target_12,target_14,target_15,target_16,target_17,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,target_area7,target_area8,target_area9,target_area10,target_area11,transportation1,transportation2,transportation3,reason1,reason2,reason3,accommodation_1,accommodation_2,accommodation_3,accommodation_4,accommodation_5,accommodation_6,accommodation_7,accommodation_8,accommodation_9,accommodation_10,accommodation_11,accommodation_12,accommodation_13,accommodation_14
1048,2020.0,31370,1,0,0,4.0,0.0,147000.0,36750.0,4.0,1.0,52.0,9.0,1.0,"1,6",1,"4,2",4,1.0,,,,,1.0,,,,,,,,,,,31370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1049,2020.0,31370,1,0,0,2.0,0.0,140000.0,70000.0,4.0,2.0,28.0,9.0,1.0,6,1,"4,1,2",3,,,,,,1.0,,,,,,,,,,,31370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1050,2020.0,23010,1,0,0,2.0,0.0,52000.0,26000.0,4.0,1.0,38.0,9.0,1.0,"1,6",1,"4,2",1,1.0,,,,,1.0,,,,,,,,,,,23010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1051,2020.0,32010,1,0,0,4.0,0.0,170000.0,42500.0,4.0,1.0,36.0,9.0,1.0,"3,6",1,"2,4",3,,,1.0,,,1.0,,,,,,,,,,,32010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1052,2020.0,31200,1,0,0,3.0,0.0,150000.0,50000.0,4.0,2.0,45.0,9.0,1.0,"1,6",1,"2,5,4",1,1.0,,,,,1.0,,,,,,,,,,,31200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1053,2020.0,31040,1,0,0,5.0,0.0,70000.0,14000.0,4.0,2.0,63.0,9.0,1.0,"1,6",1,"4,5",4,1.0,,,,,1.0,,,,,,,,,,,31040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,2020.0,"32060,32060",2,1,3,2.0,0.0,310000.0,155000.0,4.0,2.0,28.0,9.0,1.0,"1,6",1,"6,1,2",3,1.0,,,,,1.0,,,,,,,,,,,32060,32060,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
1055,2020.0,31370,1,0,0,5.0,0.0,100000.0,25000.0,4.0,1.0,28.0,9.0,1.0,1,1,"11,2",3,1.0,,,,,,,,,,,,,,,,31370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1056,2020.0,31060,1,0,0,2.0,0.0,50000.0,25000.0,4.0,1.0,28.0,10.0,1.0,"1,6",1,"2,4",3,1.0,,,,,1.0,,,,,,,,,,,31060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1057,2020.0,31230,1,0,0,2.0,0.0,105000.0,52500.0,4.0,1.0,37.0,10.0,1.0,"1,6",1,"4,5,2",3,1.0,,,,,1.0,,,,,,,,,,,31230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1058,2020.0,"32020,23310",2,"1,0",12,2.0,0.0,80000.0,40000.0,4.0,2.0,32.0,10.0,1.0,"1,6",1,"1,2",1,1.0,,,,,1.0,,,,,,,,,,,32020,23310,,,,,,,,,,,,,,,,12.0,0.0,,,,,,,,,,,,
1059,2020.0,31370,1,0,0,2.0,0.0,110000.0,55000.0,4.0,2.0,36.0,10.0,1.0,"1,6",1,"4,2,1",1,1.0,,,,,1.0,,,,,,,,,,,31370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1060,2020.0,33040,1,1,2,3.0,0.0,310002.0,103334.0,4.0,2.0,27.0,10.0,1.0,"1,6",1,"2,1",3,1.0,,,,,1.0,,,,,,,,,,,33040,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
1061,2020.0,32020,1,0,0,4.0,1.0,160000.0,40000.0,4.0,2.0,47.0,11.0,1.0,1,1,"2,4,3",1,1.0,,,,,,,,,,,,,,,,32020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
